iter	Passed	Remaining
786	1933	523
787	1935	520
788	1938	518
789	1940	515
790	1942	513
791	1944	510
792	1945	507
793	1947	505
794	1949	502
795	1950	499
796	1954	497
797	1956	495
798	1957	492
799	1961	490
800	1963	487
801	1964	485
802	1966	482
803	1970	480
804	1972	477
805	1973	475
806	1975	472
807	1976	469
808	1978	467
809	1980	464
810	1982	461
811	1985	459
812	1987	457
813	1988	454
814	1990	451
815	1992	449
816	1993	446
817	1995	443
818	1997	441
819	2000	439
820	2002	436
821	2006	434
822	2008	431
823	2009	429
824	2011	426
825	2015	424
826	2018	422
827	2020	419
828	2021	417
829	2023	414
830	2025	411
831	2026	409
832	2030	407
833	2032	404
834	2034	402
835	2036	399
836	2038	396
837	2040	394
838	2041	391
839	2044	389
840	2046	386
841	2047	384
842	2049	381
843	2051	379
844	2052	376
845	2054	373
846	2056	371
847	2057	368
848	2061	366
849	2063	364
850	2065	361
851	2066	359
852	2068	356
853	2069	353
854	2071	351
855	2073	348
856	2075	346
857	2076	343
858	2078	341
859	2080	338
860	2081	336
861	2083	333
862	2085	331
863	2090	329
864	2092	326
865	2094	324
866	2095	321
867	2097	319
868	2099	316
869	2100	313
870	2104	311
871	2107	309
872	2108	306
873	2110	304
874	2111	301
875	2113	299
876	2115	296
877	2116	294
878	2121	292
879	2123	289
880	2125	287
881	2127	284
882	2129	282
883	2131	279
884	2134	277
885	2136	274
886	2138	272
887	2140	269
888	2141	267
889	2143	264
890	2145	262
891	2146	259
892	2150	257
893	2152	255
894	2154	252
895	2155	250
896	2157	247
897	2158	245
898	2160	242
899	2161	240
900	2165	237
901	2167	235
902	2168	232
903	2170	230
904	2174	228
905	2176	225
906	2177	223
907	2181	221
908	2183	218
909	2184	216
910	2186	213
911	2188	211
912	2190	208
913	2191	206
914	2193	203
915	2197	201
916	2198	199
917	2200	196
918	2202	194
919	2204	191
920	2205	189
921	2207	186
922	2211	184
923	2213	182
924	2216	179
925	2218	177
926	2220	174
927	2222	172
928	2223	169
929	2227	167
930	2229	165
931	2230	162
932	2232	160
933	2234	157
934	2236	155
935	2237	153
936	2239	150
937	2243	148
938	2245	145
939	2246	143
940	2248	140
941	2250	138
942	2251	136
943	2253	133
944	2257	131
945	2258	128
946	2260	126
947	2264	124
948	2265	121
949	2267	119
950	2268	116
951	2272	114
952	2273	112
953	2275	109
954	2276	107
955	2278	104
956	2279	102
957	2281	100
958	2282	97
959	2284	95
960	2289	92
961	2290	90
962	2292	88
963	2294	85
964	2295	83
965	2297	80
966	2299	78
967	2302	76
968	2304	73
969	2306	71
970	2308	68
971	2309	66
972	2311	64
973	2313	61
974	2314	59
975	2318	57
976	2321	54
977	2325	52
978	2326	49
979	2328	47
980	2330	45
981	2334	42
982	2336	40
983	2337	38
984	2339	35
985	2340	33
986	2342	30
987	2344	28
988	2345	26
989	2351	23
990	2353	21
991	2355	18
992	2356	16
993	2358	14
994	2360	11
995	2361	9
996	2364	7
997	2366	4
998	2367	2
999	2369	0
